Period,value,MAGNTUDE,Group,Region,Industry
2019,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2020,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2021,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2022,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2000,410.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2001,464.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2002,506.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2003,490.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2004,491.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2005,611.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2006,797.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2007,844.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2008,728.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2009,863.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2010,519.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2011,626.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2012,637.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2013,564.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2014,588.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2015,794.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2016,971.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2017,798.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2018,883.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2019,872.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2020,830.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2021,667.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2022,741.0,6,"Gross domestic product, by region and industry",Northland,Manufacturing
2000,48.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2001,54.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2002,44.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2003,52.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2004,62.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2005,68.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2006,76.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2007,94.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2008,107.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2009,116.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2010,111.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2011,141.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2012,152.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2013,170.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2014,174.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2015,169.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2016,173.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2017,187.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2018,192.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2019,211.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2020,220.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2021,203.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2022,239.0,6,"Gross domestic product, by region and industry",Northland,"Electricity, Gas, Water, and Waste services"
2000,150.0,6,"Gross domestic product, by region and industry",Northland,Construction
2001,150.0,6,"Gross domestic product, by region and industry",Northland,Construction
2002,159.0,6,"Gross domestic product, by region and industry",Northland,Construction
2003,180.0,6,"Gross domestic product, by region and industry",Northland,Construction
2004,209.0,6,"Gross domestic product, by region and industry",Northland,Construction
2005,277.0,6,"Gross domestic product, by region and industry",Northland,Construction
2006,259.0,6,"Gross domestic product, by region and industry",Northland,Construction
2007,310.0,6,"Gross domestic product, by region and industry",Northland,Construction
2008,352.0,6,"Gross domestic product, by region and industry",Northland,Construction
2009,336.0,6,"Gross domestic product, by region and industry",Northland,Construction
2010,322.0,6,"Gross domestic product, by region and industry",Northland,Construction
2011,297.0,6,"Gross domestic product, by region and industry",Northland,Construction
2012,284.0,6,"Gross domestic product, by region and industry",Northland,Construction
2013,298.0,6,"Gross domestic product, by region and industry",Northland,Construction
2014,321.0,6,"Gross domestic product, by region and industry",Northland,Construction
2015,338.0,6,"Gross domestic product, by region and industry",Northland,Construction
2016,366.0,6,"Gross domestic product, by region and industry",Northland,Construction
2017,445.0,6,"Gross domestic product, by region and industry",Northland,Construction
2018,521.0,6,"Gross domestic product, by region and industry",Northland,Construction
2019,554.0,6,"Gross domestic product, by region and industry",Northland,Construction
2020,631.0,6,"Gross domestic product, by region and industry",Northland,Construction
2021,640.0,6,"Gross domestic product, by region and industry",Northland,Construction
2022,721.0,6,"Gross domestic product, by region and industry",Northland,Construction
2000,76.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2001,108.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2002,128.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2003,74.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2004,99.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2005,93.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2006,95.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2007,113.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2008,119.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2009,124.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2010,124.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2011,119.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2012,138.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2013,120.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2014,141.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2015,150.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2016,184.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2017,170.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2018,177.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2019,189.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2020,190.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2021,211.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2022,248.0,6,"Gross domestic product, by region and industry",Northland,Wholesale Trade
2000,149.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2001,156.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2002,178.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2003,198.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2004,214.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2005,221.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2006,235.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2007,258.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2008,268.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2009,255.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2010,262.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2011,255.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2012,266.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2013,280.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2014,305.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2015,316.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2016,328.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2017,385.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2018,405.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2019,416.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2020,433.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2021,467.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2022,559.0,6,"Gross domestic product, by region and industry",Northland,Retail Trade
2000,18.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2001,22.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2002,25.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2003,25.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2004,29.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2005,32.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2006,33.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2007,49.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2008,56.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2009,45.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2010,47.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2011,44.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2012,40.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2013,37.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2014,40.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2015,42.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2016,44.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2017,55.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2018,72.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2019,68.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2020,72.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2021,53.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2022,56.0,6,"Gross domestic product, by region and industry",Northland,Accommodation
2000,35.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2001,41.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2002,46.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2003,47.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2004,54.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2005,60.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2006,65.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2007,61.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2008,63.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2009,57.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2010,63.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2011,64.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2012,65.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2013,64.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2014,66.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2015,77.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2016,80.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2017,99.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2018,107.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2019,111.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2020,113.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2021,106.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2022,126.0,6,"Gross domestic product, by region and industry",Northland,Food and beverage services
2000,140.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2001,131.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2002,140.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2003,158.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2004,184.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2005,193.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2006,188.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2007,167.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2008,176.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2009,184.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2010,191.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2011,206.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2012,206.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2013,221.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2014,227.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2015,260.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2016,260.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2017,278.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2018,308.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2019,295.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2020,346.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2021,323.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2022,341.0,6,"Gross domestic product, by region and industry",Northland,"Transport, Postal and Warehousing"
2000,109.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2001,113.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2002,126.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2003,138.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2004,145.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2005,157.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2006,176.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2007,146.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2008,150.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2009,166.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2010,183.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2011,190.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2012,192.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2013,183.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2014,209.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2015,215.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2016,226.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2017,244.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2018,259.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2019,283.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2020,303.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2021,324.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2022,370.0,6,"Gross domestic product, by region and industry",Northland,"Information Media, Telecommunications and Other Services"
2000,61.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2001,64.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2002,65.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2003,72.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2004,86.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2005,96.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2006,99.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2007,89.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2008,95.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2009,109.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2010,144.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2011,128.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2012,129.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2013,129.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2014,170.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2015,185.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2016,170.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2017,160.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2018,141.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2019,134.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2020,131.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2021,149.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2022,132.0,6,"Gross domestic product, by region and industry",Northland,Financial and Insurance Services
2000,173.0,6,"Gross domestic product, by region and industry",Northland,"Rental, Hiring and Real Estate Services"
2001,184.0,6,"Gross domestic product, by region and industry",Northland,"Rental, Hiring and Real Estate Services"
2002,186.0,6,"Gross domestic product, by region and industry",Northland,"Rental, Hiring and Real Estate Services"
2003,206.0,6,"Gross domestic product, by region and industry",Northland,"Rental, Hiring and Real Estate Services"
